"행정구역","2019년_총인구수","2019년_세대수","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"서울특별시  (1100000000)","9,729,107","4,327,605","4,744,059","4,985,048","          0.95","9,668,465","4,417,954","4,701,723","4,966,742","          0.95","9,509,458","4,426,007","4,618,040","4,891,418","          0.94","9,428,372","4,446,296","4,570,048","4,858,324","          0.94","9,386,034","4,469,417","4,540,031","4,846,003","          0.94","9,331,828","4,482,063","4,505,355","4,826,473","          0.93"
"서울특별시 서울특별시 종로구 (1111000000)","151,290","73,947","73,746","77,544","          0.95","149,384","75,003","72,635","76,749","          0.95","144,683","73,494","70,183","74,500","          0.94","141,379","72,524","68,395","72,984","          0.94","139,417","72,067","67,306","72,111","          0.93","138,336","72,166","66,570","71,766","          0.93"
"서울특별시 서울특별시 중구 (1114000000)","126,171","62,739","61,910","64,261","          0.96","125,240","63,686","61,222","64,018","          0.96","122,499","63,519","59,630","62,869","          0.95","120,437","63,139","58,563","61,874","          0.95","121,312","64,714","58,659","62,653","          0.94","120,544","64,995","58,015","62,529","          0.93"
"서울특별시 서울특별시 용산구 (1117000000)","228,670","110,126","110,356","118,314","          0.93","230,040","113,093","110,722","119,318","          0.93","222,953","111,036","107,210","115,743","          0.93","218,650","109,805","105,087","113,563","          0.93","213,151","107,825","102,312","110,839","          0.92","203,854","103,241","97,469","106,385","          0.92"
"서울특별시 서울특별시 성동구 (1120000000)","300,889","135,838","147,273","153,616","          0.96","293,556","135,870","143,387","150,169","          0.95","285,990","134,233","139,380","146,610","          0.95","281,000","133,305","136,633","144,367","          0.95","277,361","133,089","134,519","142,842","          0.94","273,669","131,953","132,409","141,260","          0.94"
"서울특별시 서울특별시 광진구 (1121500000)","351,350","164,428","170,262","181,088","          0.94","346,682","167,427","167,310","179,372","          0.93","339,996","167,949","164,058","175,938","          0.93","337,416","169,291","162,541","174,875","          0.93","335,554","170,077","161,277","174,277","          0.93","331,963","169,931","159,237","172,726","          0.92"
"서울특별시 서울특별시 동대문구 (1123000000)","346,194","164,191","172,113","174,081","          0.99","342,837","167,598","169,769","173,068","          0.98","337,400","168,219","166,646","170,754","          0.98","336,644","169,873","165,755","170,889","          0.97","341,149","172,801","167,346","173,803","          0.96","338,735","172,840","165,620","173,115","          0.96"
"서울특별시 서울특별시 중랑구 (1126000000)","397,015","181,579","196,959","200,056","          0.98","394,702","185,920","195,165","199,537","          0.98","387,350","185,712","191,112","196,238","          0.97","385,318","187,413","189,537","195,781","          0.97","382,155","188,097","187,372","194,783","          0.96","379,274","188,651","185,473","193,801","          0.96"
"서울특별시 서울특별시 성북구 (1129000000)","442,650","192,592","214,437","228,213","          0.94","437,153","195,396","210,810","226,343","          0.93","430,528","195,017","207,578","222,950","          0.93","430,397","197,082","206,961","223,436","          0.93","425,602","196,800","204,171","221,431","          0.92","421,560","196,485","202,003","219,557","          0.92"
"서울특별시 서울특별시 강북구 (1130500000)","313,954","144,277","153,235","160,719","          0.95","308,055","145,896","150,143","157,912","          0.95","299,182","144,536","145,705","153,477","          0.95","293,660","144,313","142,567","151,093","          0.94","288,113","143,560","139,514","148,599","          0.94","283,597","143,063","136,789","146,808","          0.93"
"서울특별시 서울특별시 도봉구 (1132000000)","333,362","138,508","163,051","170,311","          0.96","325,257","139,114","158,620","166,637","          0.95","317,366","138,656","154,487","162,879","          0.95","311,694","138,356","151,398","160,296","          0.94","306,948","138,261","148,796","158,152","          0.94","303,228","138,759","146,696","156,532","          0.94"
"서울특별시 서울특별시 노원구 (1135000000)","532,905","216,966","257,923","274,982","          0.94","523,037","218,270","252,383","270,654","          0.93","510,956","217,378","246,053","264,903","          0.93","503,734","217,540","242,145","261,589","          0.93","498,213","217,904","239,117","259,096","          0.92","491,247","217,743","235,464","255,783","          0.92"
"서울특별시 서울특별시 은평구 (1138000000)","480,032","207,681","231,528","248,504","          0.93","479,835","213,914","230,279","249,556","          0.92","473,307","214,711","226,458","246,849","          0.92","466,746","213,876","222,592","244,154","          0.91","466,770","215,721","221,725","245,045","          0.90","460,919","215,305","218,214","242,705","          0.90"
"서울특별시 서울특별시 서대문구 (1141000000)","309,397","140,157","148,663","160,734","          0.92","312,173","144,838","149,360","162,813","          0.92","304,819","143,647","145,694","159,125","          0.92","306,337","145,797","145,816","160,521","          0.91","306,231","146,845","145,404","160,827","          0.90","302,853","146,221","143,412","159,441","          0.90"
"서울특별시 서울특별시 마포구 (1144000000)","374,035","175,023","176,891","197,144","          0.90","371,890","178,482","175,150","196,740","          0.89","368,905","179,861","173,504","195,401","          0.89","364,638","180,084","171,043","193,595","          0.88","363,697","181,090","169,990","193,707","          0.88","361,417","181,135","168,356","193,061","          0.87"
"서울특별시 서울특별시 양천구 (1147000000)","458,165","177,256","225,186","232,979","          0.97","454,251","180,633","222,824","231,427","          0.96","447,302","181,404","219,214","228,088","          0.96","440,881","181,187","215,682","225,199","          0.96","436,028","180,695","212,835","223,193","          0.95","430,976","180,209","210,199","220,777","          0.95"
"서울특별시 서울특별시 강서구 (1150000000)","591,796","262,708","286,563","305,233","          0.94","580,185","266,982","280,034","300,151","          0.93","574,315","271,175","276,292","298,023","          0.93","569,166","273,697","273,203","295,963","          0.92","563,058","274,084","269,822","293,236","          0.92","556,171","273,911","266,237","289,934","          0.92"
"서울특별시 서울특별시 구로구 (1153000000)","406,664","176,568","200,987","205,677","          0.98","404,408","180,531","199,673","204,735","          0.98","396,754","180,929","195,537","201,217","          0.97","395,315","183,655","194,274","201,041","          0.97","392,405","184,096","192,341","200,064","          0.96","388,169","183,891","189,991","198,178","          0.96"
"서울특별시 서울특별시 금천구 (1154500000)","232,810","110,622","118,209","114,601","          1.03","231,733","114,715","117,226","114,507","          1.02","230,811","117,595","116,527","114,284","          1.02","229,642","119,583","115,786","113,856","          1.02","227,481","120,381","114,414","113,067","          1.01","225,159","121,075","113,211","111,948","          1.01"
"서울특별시 서울특별시 영등포구 (1156000000)","367,678","174,806","182,438","185,240","          0.98","379,480","184,714","187,647","191,833","          0.98","376,837","187,020","185,926","190,911","          0.97","375,675","188,832","184,660","191,015","          0.97","374,794","190,737","183,726","191,068","          0.96","373,773","192,199","182,802","190,971","          0.96"
"서울특별시 서울특별시 동작구 (1159000000)","395,963","180,753","191,976","203,987","          0.94","391,220","184,229","189,152","202,068","          0.94","385,483","184,812","186,426","199,057","          0.94","380,596","185,773","184,030","196,566","          0.94","378,769","186,675","183,153","195,616","          0.94","375,799","186,950","181,576","194,223","          0.93"
"서울특별시 서울특별시 관악구 (1162000000)","500,094","268,559","251,009","249,085","          1.01","495,060","274,811","248,339","246,721","          1.01","485,699","276,597","243,991","241,708","          1.01","486,752","283,623","244,748","242,004","          1.01","481,956","284,578","242,651","239,305","          1.01","477,812","285,963","240,457","237,355","          1.01"
"서울특별시 서울특별시 서초구 (1165000000)","430,826","173,199","206,039","224,787","          0.92","425,126","173,502","203,359","221,767","          0.92","412,279","170,244","197,034","215,245","          0.92","404,325","167,749","193,159","211,166","          0.91","407,664","169,884","194,291","213,373","          0.91","408,376","170,681","194,153","214,223","          0.91"
"서울특별시 서울특별시 강남구 (1168000000)","545,169","232,981","260,806","284,363","          0.92","539,231","234,872","257,999","281,232","          0.92","533,042","234,233","255,047","277,995","          0.92","529,102","232,777","253,072","276,030","          0.92","544,873","239,775","260,520","284,353","          0.92","557,345","245,094","266,412","290,933","          0.92"
