"행정구역","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~9세","2019년_거주자_10~19세","2019년_거주자_20~29세","2019년_거주자_30~39세","2019년_거주자_40~49세","2019년_거주자_50~59세","2019년_거주자_60~69세","2019년_거주자_70~79세","2019년_거주자_80~89세","2019년_거주자_90~99세","2019년_거주자_100세 이상","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~9세","2020년_거주자_10~19세","2020년_거주자_20~29세","2020년_거주자_30~39세","2020년_거주자_40~49세","2020년_거주자_50~59세","2020년_거주자_60~69세","2020년_거주자_70~79세","2020년_거주자_80~89세","2020년_거주자_90~99세","2020년_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~9세","2021년_거주자_10~19세","2021년_거주자_20~29세","2021년_거주자_30~39세","2021년_거주자_40~49세","2021년_거주자_50~59세","2021년_거주자_60~69세","2021년_거주자_70~79세","2021년_거주자_80~89세","2021년_거주자_90~99세","2021년_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2023년_거주자_총인구수","2023년_거주자_연령구간인구수","2023년_거주자_0~9세","2023년_거주자_10~19세","2023년_거주자_20~29세","2023년_거주자_30~39세","2023년_거주자_40~49세","2023년_거주자_50~59세","2023년_거주자_60~69세","2023년_거주자_70~79세","2023년_거주자_80~89세","2023년_거주자_90~99세","2023년_거주자_100세 이상","2024년_거주자_총인구수","2024년_거주자_연령구간인구수","2024년_거주자_0~9세","2024년_거주자_10~19세","2024년_거주자_20~29세","2024년_거주자_30~39세","2024년_거주자_40~49세","2024년_거주자_50~59세","2024년_거주자_60~69세","2024년_거주자_70~79세","2024년_거주자_80~89세","2024년_거주자_90~99세","2024년_거주자_100세 이상"
"서울특별시 광진구 (1121500000)","346,032","346,032","21,637","27,480","61,438","57,591","53,549","54,412","39,448","21,359","8,031","1,045","42","341,534","341,534","19,553","25,836","62,650","55,462","51,599","53,418","41,441","21,825","8,590","1,121","39","336,447","336,447","17,726","24,700","61,394","54,331","49,763","52,847","43,370","21,697","9,384","1,196","39","334,978","334,978","16,435","24,418","60,072","54,424","48,732","52,558","44,157","22,586","10,273","1,283","40","333,004","333,004","15,200","23,760","58,692","54,646","47,559","52,443","44,973","23,422","10,872","1,398","39","329,478","329,478","14,087","22,940","56,734","55,074","46,013","51,538","45,504","24,578","11,409","1,561","40"
"서울특별시 광진구 화양동(1121571000)","21,568","21,568","492","777","8,999","4,213","2,120","2,001","1,557","987","374","45","3","22,178","22,178","380","707","9,619","4,317","2,101","1,995","1,625","993","387","51","3","22,828","22,828","348","698","10,104","4,503","2,050","1,986","1,671","988","426","53","1","23,204","23,204","331","709","10,347","4,648","2,048","1,952","1,642","997","468","62","0","22,934","22,934","283","627","10,200","4,757","1,973","1,896","1,623","1,025","495","55","0","22,629","22,629","277","597","9,973","4,822","1,905","1,836","1,558","1,087","521","53","0"
"서울특별시 광진구 군자동(1121573000)","19,532","19,532","996","1,102","4,222","3,656","2,588","2,922","2,189","1,331","469","51","6","19,625","19,625","888","1,046","4,475","3,599","2,580","2,818","2,311","1,336","510","58","4","19,373","19,373","812","960","4,474","3,575","2,464","2,724","2,448","1,299","559","56","2","19,282","19,282","712","979","4,316","3,608","2,508","2,610","2,501","1,365","616","64","3","18,923","18,923","645","933","4,262","3,424","2,445","2,585","2,512","1,377","673","65","2","18,580","18,580","576","911","4,092","3,416","2,332","2,494","2,531","1,424","720","79","5"
"서울특별시 광진구 중곡제1동(1121574000)","15,555","15,555","859","804","2,660","2,999","2,252","2,526","1,954","1,111","343","47","0","15,519","15,519","773","762","2,825","2,963","2,141","2,474","2,020","1,144","372","45","0","15,335","15,335","700","714","2,799","2,950","2,043","2,413","2,136","1,106","430","43","1","15,225","15,225","611","677","2,854","2,974","1,933","2,362","2,168","1,119","475","52","0","15,156","15,156","565","668","2,803","3,045","1,927","2,294","2,143","1,139","504","67","1","15,020","15,020","501","635","2,670","3,087","1,914","2,253","2,154","1,185","550","71","0"
"서울특별시 광진구 중곡제2동(1121575000)","21,931","21,931","1,362","1,487","3,860","4,000","3,105","3,589","2,594","1,423","443","66","2","21,644","21,644","1,208","1,404","3,900","3,887","2,967","3,500","2,775","1,462","477","63","1","21,222","21,222","1,051","1,315","3,707","3,831","2,941","3,398","2,919","1,445","545","69","1","20,848","20,848","915","1,294","3,461","3,773","2,868","3,367","2,979","1,518","600","72","1","20,376","20,376","830","1,237","3,296","3,637","2,802","3,306","3,003","1,574","618","69","4","20,030","20,030","761","1,192","3,162","3,609","2,657","3,188","3,043","1,669","674","75","0"
"서울특별시 광진구 중곡제3동(1121576000)","16,763","16,763","848","1,090","2,670","2,803","2,433","2,991","2,223","1,233","410","59","3","16,394","16,394","765","953","2,699","2,723","2,279","2,847","2,345","1,260","465","56","2","15,931","15,931","686","867","2,574","2,652","2,171","2,762","2,410","1,243","497","67","2","15,828","15,828","650","869","2,472","2,678","2,123","2,711","2,408","1,310","548","58","1","15,618","15,618","605","836","2,311","2,718","2,032","2,647","2,492","1,340","580","57","0","15,261","15,261","524","743","2,202","2,723","1,923","2,545","2,535","1,370","640","56","0"
"서울특별시 광진구 중곡제4동(1121577000)","29,677","29,677","1,721","2,136","4,504","4,586","4,345","5,413","4,002","2,184","695","87","4","28,975","28,975","1,481","1,943","4,481","4,357","4,094","5,246","4,276","2,250","745","99","3","28,265","28,265","1,282","1,808","4,289","4,169","3,860","5,149","4,529","2,250","829","93","7","27,848","27,848","1,143","1,751","4,084","4,031","3,716","5,114","4,591","2,360","956","97","5","27,393","27,393","1,012","1,657","3,944","4,025","3,522","5,051","4,601","2,434","1,030","113","4","27,087","27,087","923","1,594","3,663","4,103","3,369","4,883","4,771","2,568","1,082","126","5"
"서울특별시 광진구 능동(1121578000)","11,403","11,403","612","569","2,334","2,709","1,583","1,408","1,161","724","269","34","0","11,426","11,426","575","546","2,395","2,650","1,615","1,378","1,228","724","279","35","1","11,165","11,165","502","520","2,286","2,540","1,577","1,418","1,265","710","312","33","2","11,093","11,093","489","502","2,269","2,472","1,607","1,391","1,283","700","343","36","1","11,011","11,011","432","489","2,224","2,460","1,594","1,423","1,282","729","343","33","2","10,850","10,850","398","470","2,148","2,423","1,579","1,416","1,258","748","376","34","0"
"서울특별시 광진구 광장동(1121581000)","35,519","35,519","3,477","5,688","4,102","4,019","7,892","5,252","2,797","1,413","758","118","3","35,065","35,065","3,315","5,502","4,111","3,805","7,620","5,406","2,949","1,421","794","139","3","34,365","34,365","2,954","5,443","3,961","3,522","7,306","5,626","3,145","1,414","850","140","4","33,933","33,933","2,658","5,402","3,890","3,326","7,013","5,868","3,261","1,476","875","156","8","33,723","33,723","2,415","5,376","3,830","3,288","6,801","5,983","3,404","1,552","898","172","4","33,554","33,554","2,373","5,230","3,728","3,360","6,582","5,984","3,561","1,651","899","182","4"
"서울특별시 광진구 자양제1동(1121582000)","22,643","22,643","1,147","1,618","4,196","3,932","3,444","3,604","2,655","1,465","518","62","2","22,413","22,413","1,015","1,504","4,369","3,760","3,314","3,545","2,768","1,495","573","69","1","22,056","22,056","871","1,474","4,191","3,679","3,257","3,490","2,876","1,498","649","71","0","21,720","21,720","788","1,427","3,948","3,733","3,160","3,394","2,913","1,549","723","84","1","21,700","21,700","722","1,374","3,873","3,805","3,102","3,349","3,036","1,579","777","82","1","21,620","21,620","648","1,313","3,892","3,867","2,989","3,327","3,034","1,638","814","97","1"
